"","file_name","cen_x","cen_y","zoom"
"404","../r03/Track 396",38.8605829,-94.628581,16
"405","../r03/Track 397",38.86055855,-94.62724785,16
"406","../r03/Track 398",38.8606351,-94.6285846,16
"407","../r03/Track 399",38.87645995,-94.66286695,15
"408","../r03/Track 400",38.8636464,-94.63178505,15
"409","../r03/Track 401",38.86965565,-94.63974445,14
"410","../r03/Track 402",38.86055065,-94.62851285,16
"411","../r03/Track 403",38.86060185,-94.62718115,16
"412","../r03/Track 404",38.86356245,-94.6317597,15
"413","../r03/Track 405",38.86967215,-94.63975715,14
"414","../r03/Track 406",38.86364255,-94.63172115,15
"415","../r03/Track 407",32.70910925,-117.1661747,15
"416","../r03/Track 408",32.7200813,-117.1733638,16
"417","../r03/Track 409",38.8605409,-94.6285347,16
"418","../r03/Track 410",38.8606251,-94.628499,16
"419","../r03/Track 411",38.86363685,-94.6317011,15
"420","../r03/Track 412",38.8637418,-94.6351929,15
"421","../r03/Track 413",39.05885645,-94.58731515,15
"422","../r03/Track 414",25.7795889,-80.13024635,14
"423","../r03/Track 415",25.79868975,-80.1254719,15
"424","../r03/Track 417",24.5526548,-81.80272465,16
"425","../r03/Track 418",38.8605717,-94.6285188,16
"426","../r03/Track 419",38.8605919,-94.6271602,16
"427","../r03/Track 420",38.8636341,-94.6316913,15
"428","../r03/Track 421",38.86373185,-94.6397072,15
"429","../r03/Track 422",38.8605764,-94.62852905,16
"430","../r03/Track 423",41.88591845,-87.61755185,16
"431","../r03/Track 424",38.8636336,-94.63169855,15
"432","../r03/Track 425",38.8605648,-94.6285465,16
"433","../r03/Track 426",38.86368225,-94.6397948,15
"434","../r03/Track 427",38.8605818,-94.6286027,16
"435","../r03/Track 428",38.856819,-94.6317724,17
"436","../r03/Track 429",38.8565913,-94.6396681,14
"437","../r03/Track 430",38.8636338,-94.6316808,15
"438","../r03/Track 431",38.86054205,-94.62854745,16
"439","../r03/Track 432",38.8637285,-94.6397919,15
"440","../r03/Track 433",39.0168007,-94.589275,13
"441","../r03/Track 434",38.8606034,-94.62854935,16
"442","../r03/Track 435",38.8605611,-94.6285705,16
"443","../r03/Track 436",38.8638432,-94.63975815,15
"444","../r03/Track 437",38.8636304,-94.6316694,15
"445","../r03/Track 438",38.8637128,-94.639738,15
"446","../r03/Track 439",38.86049915,-94.6272034,16
"447","../r03/Track 441",38.8605975,-94.6285494,16
"448","../r03/Track 442",38.86363435,-94.63172735,15
"449","../r03/Track 443",38.863838,-94.63976985,15
"450","../r03/Track 444",39.0232448,-94.59747325,14
"451","../r03/Track 445",38.86364215,-94.6316892,15
"452","../r03/Track 446",39.2777061,-76.6083391,15
"453","../r03/Track 447",38.86364045,-94.63171525,15
"454","../r03/Track 448",38.8636851,-94.63979655,15
"455","../r03/Track 449",38.86103375,-94.64331775,16
"456","../r03/Track 450",38.8636351,-94.63168055,15
"457","../r03/Track 451",38.8638381,-94.639728,15
"458","../r03/Track 452",38.96879325,-94.6034661,15
"459","../r03/Track 453",38.860585,-94.62719825,16
"460","../r03/Track 454",38.86362845,-94.6316258,15
"461","../r03/Track 455",38.8605897,-94.62719525,16
"462","../r03/Track 456",38.8636293,-94.63172255,15
"463","../r03/Track 457",38.86370625,-94.6397245,15
"464","../r02/Track 001",48.85609955,2.29803225,16
"465","../r02/Track 002",38.86367055,-94.6316456,15
"466","../r02/Track 003",38.8637748,-94.62851875,15
"467","../r02/Track 004",38.85787155,-94.6318483,16
"468","../r02/Track 007",38.8725203,-94.653085,14
"469","../r02/Track 008",38.8581617,-94.63441285,17
"470","../r02/Track 060",32.68290715,-117.1888197,15
"471","../r02/Track 061",32.6771606,-117.17695875,16
"472","../r02/Track 062",32.68361895,-117.18957055,15
"473","../r02/Track 063",38.86084935,-94.6271435,16
"474","../r02/Track 064",38.8635925,-94.6314869,15
"475","../r02/Track 065",38.8568016,-94.6317808,17
"476","../r02/Track 066",38.8681693,-94.6324815,15
"477","../r02/Track 067",38.8579211,-94.6318208,16
"478","../r02/Track 068",38.86357525,-94.63171125,15
"479","../r02/Track 069",38.9378336,-94.6799279,15
"480","../r02/Track 070",41.6628443,-91.54046375,16
"481","../r02/Track 071",38.8567913,-94.6318545,17
"482","../r02/Track 072",38.86379985,-94.62885225,15
"483","../r02/Track 073",38.85679495,-94.63175055,17
"484","../r02/Track 074",38.8579221,-94.6317699,16
"485","../r02/Track 075",38.86176765,-94.6273861,17
"486","../r02/Track 076",38.8567371,-94.6317658,17
"487","../r02/Track 077",38.86377085,-94.62856765,15
"488","../r02/Track 078",38.8709586,-94.63727025,14
"489","../r02/Track 079",38.8718761,-94.64594335,14
"490","../r02/Track 080",38.86085515,-94.62714855,16
"491","../r02/Track 081",38.8607836,-94.62716515,16
"492","../r02/Track 082",38.86084535,-94.62856465,16
"493","../r02/Track 083",38.86876395,-94.6397398,15
"494","../r02/Track 084",38.8608223,-94.6271841,16
"495","../r02/Track 085",38.86090755,-94.6284682,16
"496","../r02/Track 086",38.86873185,-94.63976315,15
"497","../r02/Track 087",45.51501725,-122.67221125,15
"498","../r02/Track 088",45.51256195,-122.71437975,16
"499","../r02/Track 089",45.4900089,-122.71725105,14
"500","../r02/Track 090",45.5150313,-122.6705747,16
"501","../r02/Track 091",38.857909,-94.6317585,16
"502","../r02/Track 092",38.85908625,-94.63177585,16
"503","../r02/Track 093",38.86089245,-94.62715365,16
"504","../r02/Track 094",38.8578902,-94.6318033,16
"505","../r02/Track 095",38.85681305,-94.6318024,17
"506","../r02/Track 096",38.83523,-94.7492516,16
"507","../r02/Track 097",38.85764685,-94.63436495,16
"508","../r02/Track 098",38.8634315,-94.631616,15
"509","../r02/Track 099",48.8556744,2.29931175,16
"510","../r02/Track 100",48.85609955,2.29803225,16
"511","../r02/Track 100a",38.86367055,-94.6316456,15
