"","ilog","rname","rtype","day","cdst","tim","lat","lon","zoom","ext","nt"
"a20130112","241","short","Mission","20130112","3570","1481","38.86089475","-94.62852855","15","35.3","no notes"
"a20130116","242","big","Mission","20130116","4739","2059","38.86085295","-94.6271899","15","36.3","no notes"
"a20130120","243","r143","Mission","20130120","2769","1162","38.86364645","-94.63161245","14","36.2","no notes"
"a20130122","244","nobrake2","Mission","20130122","2266","962","38.8590215","-94.6317322","15","37.1","no notes"
"a20130125","245","flat","Mission","20130125","1733","687","38.8578894","-94.6317713","15","35.2","no notes"
"a20130127","246","r145","Mission","20130127","4391","1910","38.8625681","-94.6271617","15","36.5","no notes"
"a20130129","247","r151","Mission","20130129","1159","471","38.85683595","-94.63147495","16","37","no notes"
"a20130131","248","r143","Mission","20130131","2805","1193","38.8636231","-94.6316533","14","36.7","no notes"
"a20130202","249","church","Mission","20130202","6520","2886","38.86880465","-94.639684","13","36.3","no notes"
"a20130204","250","r151","Mission","20130204","1275","486","38.85683265","-94.6317068","16","34.5","no notes"
"a20130206","251","flat","Mission","20130206","1749","702","38.8579143","-94.6317163","15","35.6","no notes"
"a20130210","252","r143","Mission","20130210","2800","1250","38.86367755","-94.63164225","14","38.5","no notes"
"a20130213","253","short","Mission","20130213","3438","1422","38.8608566","-94.6284928","15","35.3","no notes"
"a20130215","254","r151","Mission","20130215","1258","474","38.856796","-94.6316561","16","34.1","no notes"
"a20130217","255","r151","Mission","20130217","1248","489","38.85677825","-94.63179145","16","35.5","no notes"
"a20130220","256","medium","Mission","20130220","3994","1586","38.8608804","-94.6271891","15","33.5","no notes"
"a20130304","257","r133x","Geezer","20130304","1681","725","38.88649995","-94.62251985","15","38.4","no notes"
"a20130309","258","r133x","Geezer","20130309","1966","799","38.88650425","-94.62263095","15","35.8","no notes"
"a20130312","259","flat","Mission","20130312","1801","691","38.8578825","-94.63175225","15","34","no notes"
"a20130315","260","hapuna1","outside","20130315","1510","838","19.99226295","-155.8260029","16","49.7","no notes"
